transaction_id;customer_id;transact_date;revenue;discount_amount
1516128;635682;2020-04-27;131;45
8934908;1640852;2021-04-17;125;31
7747380;450142;2020-01-26;90;63
5981788;224062;2023-02-27;145;30
6870676;2805706;2023-10-20;687;75
6768425;2767423;2023-06-12;290;302
6349478;2765971;2023-04-07;47;80
3360657;2617582;2022-08-12;199;74
5168116;926022;2020-08-31;256;69
609020;1619112;2021-04-12;124;11
9847507;137994;2022-10-13;217;115
2820771;2808506;2023-10-31;218;38
2248132;717372;2024-06-24;136;29
9538618;233738;2021-04-02;328;12
626906;480042;2022-03-08;193;13
4311598;480042;2020-05-05;165;12
9561972;1691572;2021-05-06;259;37
9712773;823622;2021-04-15;247;27
6897752;2829708;2024-01-29;305;21
8367894;46312;2020-07-17;146;18
2316934;2015532;2023-09-29;134;56
6444701;328316;2019-01-24;129;21
6469487;348301;2019-07-22;182;30
4137065;358466;2022-06-28;501;72
7602166;353169;2020-03-25;388;26
9010445;233738;2023-10-24;70;13
2200892;244510;2024-08-01;282;33
4320310;2817630;2023-12-07;177;31
1368248;253269;2021-10-23;76;17
4644527;480042;2022-03-08;130;15
9645675;223262;2022-04-29;235;21
2382464;1481632;2021-02-26;97;29
788719;223262;2022-08-22;265;37
8399082;1772282;2021-10-06;44;28
190496;2565132;2023-05-02;101;20
293714;2784523;2023-10-29;182;45
3783120;271450;2019-07-29;56;52
2088892;306209;2019-01-19;99;21
109470;340369;2021-07-21;76;11
2520707;588852;2020-04-08;170;57
1951171;792382;2020-06-25;644;31
4294515;2813330;2023-11-20;198;11
2995699;1798432;2021-06-20;249;24
3190856;482522;2020-02-15;256;21
5845122;206458;2020-04-20;168;11
4149681;2584132;2022-08-03;116;47
8019269;209802;2023-09-11;156;29
2406006;205502;2024-02-27;83;29
8086331;142886;2023-06-06;162;58
4284271;223262;2021-05-12;234;80
355021;223262;2021-07-20;156;59
9523385;138862;2022-08-02;85;34
4620535;1491492;2021-06-08;124;23
4322237;223262;2021-08-25;187;18
3620131;2847514;2024-04-11;515;104
7178591;2004372;2024-05-17;167;26
7835524;349380;2019-07-30;235;60
3739798;786752;2020-06-24;189;105
3509941;325393;2019-09-17;268;16
6361493;138862;2024-05-16;53;191
8410027;717372;2020-05-26;93;20
2378894;18120;2022-09-28;129;26
1480481;1629032;2021-04-16;113;17
374655;2768749;2023-04-24;48;18
7783560;885262;2020-07-28;114;17
2436336;233738;2021-04-02;276;28
1806279;234026;2021-03-05;202;17
8583017;267992;2021-09-23;91;18
4613545;267992;2021-10-10;387;21
1835931;482522;2020-03-27;312;227
3317250;2840586;2024-03-13;226;28
4387516;1427172;2024-02-06;281;59
9217554;2015532;2023-09-29;130;57
8811404;221130;2019-07-23;447;100
5927769;679022;2020-05-12;98;55
5515778;923942;2020-08-12;263;15
923056;234026;2020-03-10;125;61
9604624;515072;2020-09-29;557;172
1207159;223262;2021-11-29;236;66
2903867;138862;2022-11-27;100;17
7134946;348388;2019-07-23;74;18
9953078;2813330;2023-11-20;152;16
8223152;224062;2023-03-13;81;33
6017997;2759234;2023-10-22;148;32
1723866;1323682;2021-04-26;136;14
2227610;614212;2020-04-20;138;16
8986226;214202;2021-03-31;98;55
6684257;2742101;2023-04-11;488;151
9928721;727622;2020-05-30;133;11
2970974;823622;2021-04-15;222;105
5638899;138862;2022-09-15;115;30
6361803;138862;2022-08-02;94;37
6372253;1772282;2021-10-08;61;27
9380404;2862251;2024-06-04;132;13
9902183;224062;2022-11-27;154;31
4204734;327422;2019-01-18;140;60
2967899;267992;2019-04-08;418;17
1183417;256830;2019-01-15;142;93
413979;206458;2019-10-30;91;13
1513419;374722;2019-11-29;1626;38
9862767;533502;2023-08-08;97;24
8774291;928922;2024-03-26;145;127
9058746;709272;2020-05-23;170;14
8742770;1769552;2022-07-26;98;15
5942927;717372;2020-05-27;144;21
282361;1053542;2023-10-12;95;53
7919202;445262;2020-06-05;77;12
3904457;334468;2020-05-28;166;104
1134630;2586142;2022-08-01;246;31
7926593;46312;2020-07-17;219;60
6005177;561702;2020-03-27;112;13
9425174;717372;2020-05-26;57;28
7482758;480992;2020-02-14;147;26
1802106;2778861;2023-06-20;171;22
9561820;2402042;2022-03-24;96;12
1496338;209802;2023-09-11;138;61
7889953;330115;2019-05-16;93;33
3823835;342840;2019-06-11;257;48
903099;1790882;2021-06-16;132;13
3992075;1673722;2021-04-29;104;73
5147551;1187352;2020-11-25;223;21
9449048;138862;2022-08-15;70;25
5591157;256511;2023-09-14;142;42
7070007;2759234;2023-10-22;158;31
7468854;391192;2019-12-21;211;45
626847;391192;2019-12-21;285;26
5462010;309316;2019-07-29;338;30
7138981;348301;2019-11-28;216;24
4372586;339061;2019-05-07;211;63
875432;2695002;2022-10-16;174;32
322517;928922;2023-10-31;148;67
5183365;958862;2020-08-28;935;129
8631327;1253742;2020-12-14;673;32
3233235;321152;2024-04-21;624;16
5449561;209802;2020-04-29;66;19
9208298;969112;2020-09-01;114;38
2132555;138862;2023-04-24;135;92
5343134;223262;2024-04-08;288;85
4525971;384802;2019-12-08;208;20
6734511;316406;2021-05-18;71;11
1179223;214202;2021-03-31;81;102
3051332;194086;2021-03-30;126;22
1058072;816122;2020-07-06;64;74
1241236;233738;2023-10-24;147;40
831668;2857176;2024-05-15;532;69
6200932;224062;2022-09-02;149;48
7621985;256546;2020-06-09;254;22
251039;18120;2022-09-28;149;13
4545201;958862;2020-08-28;869;50
2438927;316406;2021-05-18;80;20
3058585;2778861;2023-06-20;200;74
2892127;626782;2020-05-05;192;25
2998275;224062;2023-05-08;76;20
667063;348407;2019-07-23;57;37
8093543;206458;2019-10-30;168;23
2945932;340925;2019-08-02;124;22
5442674;1226762;2020-12-03;70;39
1223369;370812;2020-07-17;293;76
1541668;493932;2020-02-28;76;15
8096951;1203422;2020-11-27;180;11
9938850;1082312;2020-10-24;162;14
8783886;823622;2021-04-15;194;62
4716655;224062;2023-11-26;149;16
20141;1193772;2023-08-21;142;13
9450626;223262;2023-03-15;246;83
9868325;342220;2019-06-07;177;44
1524413;223262;2019-10-28;197;13
823548;267215;2021-10-23;532;35
4202223;717372;2020-08-17;380;71
4493541;214202;2021-03-31;72;22
3893202;885262;2020-07-28;138;20
2773586;1291232;2020-12-30;253;27
8696072;529192;2020-03-31;41;55
8921307;315092;2019-11-06;127;61
8216348;332945;2019-03-06;181;97
1342235;234026;2019-08-27;304;12
9062297;214202;2021-03-31;78;43
5648295;2813330;2023-11-20;169;15
1809024;1895142;2021-07-30;981;97
1431540;328316;2019-01-24;121;23
9433813;273921;2019-01-11;116;19
7034975;310785;2019-04-29;202;26
3321511;717372;2023-01-02;813;98
4316801;795192;2020-06-26;110;21
9602506;2565132;2023-05-02;87;20
8400076;2768883;2023-04-24;191;19
1885984;1163172;2021-10-27;132;26
9898202;717372;2020-05-27;159;16
2727052;746572;2020-06-07;124;41
1324333;2854858;2024-05-07;338;241
3179268;233738;2021-10-15;185;11
989685;2816921;2024-07-30;118;11
6165162;138862;2023-01-07;72;176
6195454;1412272;2023-03-27;288;44
4344323;322435;2019-07-29;149;16
9623409;138862;2023-02-25;88;251
5639172;187722;2021-05-03;145;44
4674979;2754542;2023-01-31;442;44
6630995;1322402;2021-09-26;360;28
2234946;253269;2021-10-23;121;12
5868597;223262;2022-10-04;134;36
9426928;925292;2022-10-30;102;55
1912740;412162;2022-02-18;63;32
6259266;138862;2023-04-24;93;27
6898061;234026;2019-08-27;309;20
4267271;209802;2019-07-23;59;25
9891135;2607202;2022-09-12;37;16
6503493;330522;2021-04-22;432;109
8304744;925102;2020-08-14;201;36
3471197;928922;2024-04-02;143;138
5770857;138862;2022-11-27;52;37
2652687;2565132;2022-06-27;84;36
2178644;339645;2019-05-14;255;86
4384961;330401;2019-02-12;103;19
4873878;717372;2020-10-07;145;73
3274774;271450;2023-08-28;169;48
8721287;271450;2023-08-28;158;24
9730607;956732;2020-12-11;257;78
691917;271078;2023-09-08;189;21
7037166;2784523;2023-10-29;150;16
381395;2888825;2024-07-30;249;66
8882332;2565132;2022-06-27;130;22
6787711;209802;2019-06-12;493;65
4519447;209802;2019-09-24;159;11
455675;187722;2021-05-03;223;60
3949062;590032;2020-04-09;212;58
8085553;48644;2023-11-19;245;27
431510;925102;2020-08-14;193;18
8623407;795192;2020-06-26;140;18
8298390;529192;2021-02-18;299;38
2809460;223262;2021-08-25;204;27
8660473;2784523;2023-10-29;150;23
6260240;328918;2019-06-13;79;19
94229;329904;2019-02-07;146;17
3903146;717372;2020-10-07;147;32
3943316;244510;2024-07-25;299;55
5680248;224062;2023-08-31;84;107
8069241;347476;2019-07-19;91;146
1946011;2565132;2022-06-27;112;34
2165832;305327;2019-04-17;106;20
4390576;309316;2019-07-29;346;16
2467555;370812;2023-06-19;503;260
9044128;1619112;2021-04-12;85;15
4845871;353169;2020-03-25;348;32
1836318;717372;2020-05-26;92;19
8825146;64362;2020-08-25;136;28
1741041;576152;2020-04-03;99;13
8467179;1815332;2021-06-26;389;65
7055596;611182;2020-04-18;928;19
9717569;1892922;2021-11-05;252;46
6924490;580902;2020-05-04;959;78
8501090;823622;2021-04-15;247;105
5431336;223262;2021-09-13;355;33
3939870;2584132;2022-11-25;154;187
727386;2780742;2023-07-01;124;16
603573;1163172;2021-07-05;34;42
5282753;234390;2019-12-15;191;15
9438116;640092;2020-05-01;99;39
5993258;588852;2020-04-08;170;32
4810645;256546;2020-06-09;196;17
9407739;206458;2020-04-20;205;14
884145;138862;2022-08-15;102;22
7929276;224062;2024-05-13;154;25
4738769;2863121;2024-06-06;215;22
8296481;2811338;2023-11-12;210;16
9355269;360762;2019-10-30;333;48
2395699;576772;2020-04-03;169;15
8245757;205502;2024-06-21;160;41
9468730;717372;2024-04-16;170;32
769250;838392;2020-07-11;326;84
9105055;256546;2020-06-09;285;99
6984875;2800499;2023-09-30;257;112
2128990;224062;2023-08-14;125;18
4695376;2584132;2024-07-31;123;23
8066058;2584132;2023-08-28;112;52
2187957;2805872;2023-10-22;143;104
2701340;429642;2020-07-09;132;19
4524942;209802;2019-05-10;582;13
6158458;342840;2019-06-11;265;62
650466;746572;2020-06-07;86;26
277259;1491492;2021-06-08;130;27
8039894;2584132;2024-06-26;67;66
4239952;399172;2023-04-29;211;22
1477522;350119;2019-08-06;101;22
7935117;348557;2019-07-23;67;41
4578849;327184;2019-01-16;102;17
5877566;649892;2024-03-29;173;42
9621114;2108422;2021-11-03;431;36
7934347;2607202;2022-09-12;132;13
1162725;2775847;2024-04-02;332;59
7696856;2781505;2023-07-05;338;100
9621852;717372;2023-03-07;164;26
4215309;969112;2020-09-01;74;12
3168360;2004372;2024-05-17;86;16
5274954;370812;2020-05-12;396;24
2412511;348301;2019-07-22;167;13
7657216;349947;2019-08-04;172;20
8144641;267215;2020-02-28;119;19
842235;717372;2024-01-22;139;42
2982370;311868;2021-09-08;163;92
3332625;1468972;2021-02-22;238;28
3898217;266933;2019-09-28;155;20
7641498;341446;2021-01-05;151;44
7811229;329278;2019-02-02;269;44
2892960;717372;2020-05-26;41;16
89699;309780;2023-08-08;33;55
9478426;172418;2024-05-12;362;73
4892520;2765675;2023-04-05;130;41
7021949;548842;2020-03-21;133;104
195252;1491492;2021-06-08;113;31
5627337;223262;2021-05-31;283;53
1930538;2778566;2023-06-19;174;72
1937755;2015532;2023-05-30;227;57
343201;1741412;2021-05-26;729;16
7302549;2533362;2024-01-03;372;29
5930072;2813330;2023-11-20;238;14
5666341;48644;2023-11-19;221;39
9671553;1679092;2021-05-02;116;68
8905523;1673722;2021-04-29;145;28
9733728;267992;2020-01-12;370;119
4643328;823622;2021-04-15;195;94
4775472;2788066;2023-08-07;144;26
4746867;341715;2019-05-31;407;67
6175233;533502;2023-08-08;187;28
5129626;774252;2020-06-17;90;27
9279400;2797633;2023-09-18;177;30
2547520;2584132;2022-10-27;191;18
3197872;670212;2020-05-09;446;107
5883780;2650262;2022-09-10;138;26
9647932;2722082;2024-05-17;242;14
67396;2141372;2024-04-14;270;14
3799371;2565132;2023-04-04;108;32
9720067;370812;2020-05-05;292;27
5640590;341355;2019-05-29;134;32
9253511;329278;2019-02-02;288;40
4873253;209802;2019-06-12;517;50
7560213;2849401;2024-04-18;322;11
8197301;717372;2020-05-27;105;17
5148812;717372;2020-08-17;373;74
8886283;958862;2020-08-28;927;136
1722099;244510;2020-09-09;416;36
8566826;2533362;2024-01-03;393;19
9434359;1798432;2021-06-20;179;28
9118097;785962;2020-06-30;180;19
3833880;2565132;2023-04-04;87;29
8810604;2767148;2023-06-06;64;14
3839375;1193772;2024-01-31;371;32
697971;234390;2019-12-15;144;44
4472222;346766;2019-07-14;95;51
6039824;348388;2019-07-23;98;13
6015398;209802;2019-07-23;143;43
3729051;362045;2021-06-08;74;141
2955936;2108422;2021-11-03;463;30
1131088;321107;2021-06-04;282;19
149264;311868;2020-12-20;69;35
7386514;482522;2020-03-27;294;25
4216792;1193772;2020-11-26;98;23
5523168;2584132;2024-07-31;89;44
6334202;2840586;2024-06-29;238;56
5260896;2584132;2023-11-28;151;49
1189448;976932;2023-09-22;99;42
9488864;1193772;2023-08-21;149;70
1909410;2238842;2022-05-23;150;11
5895186;332729;2019-03-05;451;103
1147519;717372;2020-05-26;64;19
226414;223262;2021-05-12;173;51
9653936;2816;2020-10-09;256;133
3895606;1149982;2020-11-13;115;50
1272751;138862;2022-11-27;44;93
1156650;2803255;2024-03-01;438;107
7941132;286963;2019-03-31;75;18
1148400;370812;2023-09-05;529;212
7906412;2617352;2022-08-12;162;102
9501763;253269;2021-10-23;60;11
1825927;727622;2020-05-30;128;21
7147961;223262;2021-11-29;197;33
5725626;224062;2023-09-11;131;19
931087;63398;2024-06-27;106;13
8611259;2767148;2023-06-06;117;17
2811302;2795695;2023-10-23;143;52
6467045;1599522;2021-04-02;263;31
4047968;329259;2019-02-04;244;31
8303523;717372;2020-05-27;163;14
2467969;1499982;2021-03-04;432;109
155830;1769552;2021-06-07;16;36
3914096;2586142;2022-08-01;176;82
7911186;1647482;2021-04-20;263;37
329030;795292;2020-06-29;182;44
8913175;1447252;2021-02-18;379;35
8465978;925292;2022-10-30;115;52
8136717;2862251;2024-06-04;136;11
8043341;2840586;2024-03-13;236;32
8290732;649892;2024-03-21;211;13
6622248;327217;2019-01-17;375;58
1652055;267992;2019-04-08;490;33
9252751;359503;2019-11-21;475;87
935661;318086;2020-10-22;109;18
5229722;319148;2020-12-10;178;13
3274335;267215;2024-04-22;282;46
234306;142886;2023-06-06;157;32
2806058;744772;2020-06-06;388;30
6676270;480042;2020-04-28;154;28
9800365;330522;2021-04-22;469;86
580495;765472;2020-06-14;420;100
9535431;2768883;2023-04-24;210;90
9050409;234390;2024-05-07;246;56
8235226;330401;2019-02-12;86;35
150239;209802;2019-05-10;524;43
8727842;717372;2024-06-13;110;17
8841243;717372;2024-05-08;170;27
9388815;823622;2021-04-15;228;18
65437;1447252;2021-03-24;395;24
8693215;885262;2020-10-27;485;100
5495853;480042;2021-04-29;83;19
9335935;307445;2023-11-29;362;104
951076;335788;2019-04-04;298;46
3152833;234026;2019-08-27;336;18
5647474;205502;2022-12-14;80;62
4936730;1481632;2021-02-26;164;20
5799147;2584132;2022-10-27;190;77
2133542;720732;2020-05-27;476;38
5806135;885262;2020-07-28;164;27
8767620;201138;2024-01-23;207;34
5365915;266933;2020-03-12;129;37
5353423;429642;2020-07-09;215;35
996809;348301;2019-11-28;192;16
4155354;2855076;2024-05-07;99;13
6286662;717372;2020-08-17;390;74
3298751;717372;2024-06-13;129;27
5569877;2584132;2022-09-05;104;59
3450821;2584132;2022-09-05;90;35
9307289;943412;2022-02-16;182;23
2339096;354197;2019-09-09;83;24
6804083;340369;2021-08-24;65;12
8413381;187722;2021-05-03;171;27
3961548;316406;2021-05-18;82;18
8854851;1769552;2021-06-07;40;39
8317075;223262;2022-10-04;134;18
8785287;986342;2020-09-09;121;29
1885263;192310;2020-10-14;152;37
364280;2607202;2022-09-12;79;15
3500957;1053542;2023-10-12;101;82
517509;233738;2021-04-02;271;11
2296686;480042;2021-04-29;55;14
1681087;822652;2020-07-05;199;31
5157394;823622;2021-04-15;200;144
7126673;445262;2020-06-05;135;17
262100;480042;2020-05-05;106;20
2447435;700992;2022-05-08;306;128
4035553;2565132;2024-04-09;90;27
1901874;324942;2023-07-09;160;40
3832580;358231;2019-10-11;67;45
1678081;370812;2020-07-17;284;25
9318159;355510;2022-05-11;170;16
2755325;224062;2022-11-27;186;14
9436937;256511;2023-09-14;137;43
3972168;341355;2019-05-29;99;23
878793;928922;2023-10-31;174;31
191249;928922;2024-08-12;371;250
4088515;214202;2021-03-31;57;19
1086538;267215;2020-03-03;109;55
3227063;531102;2020-03-15;77;58
8146889;246307;2020-04-27;212;27
1110991;1263742;2020-12-17;102;17
4332191;2841790;2024-03-18;181;37
9385525;349380;2019-10-30;246;44
8890244;334136;2019-03-19;354;75
272547;958862;2020-08-28;919;196
7160809;271450;2023-08-28;205;25
3101812;1193772;2020-11-26;136;26
2083543;1082312;2020-10-24;144;21
5850580;2584132;2024-01-02;163;51
4620876;223262;2023-04-11;154;40
5255482;267215;2022-10-21;151;124
4015677;267215;2021-10-23;509;50
1841339;318086;2020-10-22;118;37
810994;717372;2020-05-27;166;15
5577857;223262;2021-07-20;105;36
7360752;785962;2020-06-30;200;33
7484566;2856158;2024-05-19;703;25
1680068;223262;2019-10-28;214;51
4985334;463422;2020-02-03;258;42
9552214;205502;2024-06-21;152;20
7588785;138862;2022-08-15;89;23
5522191;271078;2020-06-09;497;44
7059669;1640852;2021-04-17;134;14
5728678;1203422;2020-11-27;124;12
176024;1491492;2021-06-08;107;21
2523248;138862;2023-12-19;128;199
2787268;2764748;2023-03-31;167;24
2521837;2788066;2023-08-07;119;33
8220602;2565132;2022-06-27;98;13
9402600;348301;2019-11-28;172;37
8783554;286963;2019-03-31;67;18
5519547;348388;2019-07-23;58;12
8122474;2796580;2024-07-16;149;146
6699065;205502;2022-10-21;98;124
5759254;2607202;2022-09-12;128;11
8204396;1110742;2020-11-25;190;107
1474918;1069832;2020-10-20;99;70
4769854;885262;2020-07-28;149;37
6253965;223262;2022-10-04;203;49
4164186;2780742;2023-07-01;200;25
9992746;1826802;2021-06-30;163;17
7851686;2765675;2023-04-05;154;43
3650996;654092;2020-05-04;109;27
6716226;1461422;2021-02-18;492;104
2253872;234390;2019-10-23;75;17
722420;319148;2019-11-06;308;42
7084213;928922;2024-03-26;186;132
6241109;316406;2021-05-18;132;12
635210;187722;2021-05-03;203;135
8076749;1778152;2023-09-27;265;46
3170520;1778152;2023-09-27;235;27
9922946;1006072;2020-09-20;372;21
5451260;1203422;2020-11-27;187;18
4276540;1428392;2021-02-06;706;75
1234728;2565132;2024-04-09;159;21
8836166;1193772;2024-01-31;407;13
8502669;341446;2019-05-29;575;61
7435807;332288;2019-02-28;231;50
1182741;206458;2019-10-30;182;23
728625;64362;2023-10-26;125;50
1257741;256025;2020-07-11;95;12
1809545;2584132;2022-08-03;142;77
298017;138862;2022-08-15;66;22
9517371;141714;2020-05-19;162;37
4758423;908052;2020-08-05;146;16
4334702;251755;2020-03-17;385;20
26587;321107;2020-04-07;114;93
9997863;2788066;2023-08-07;132;39
5024733;187722;2021-05-03;156;80
278841;2607202;2022-09-12;65;13
8047160;267215;2023-07-05;179;31
9158886;717372;2024-07-22;174;23
7005803;2778348;2023-06-18;162;33
657493;2310922;2022-02-07;360;25
55365;253269;2021-10-23;114;42
2261110;795192;2020-06-26;117;24
3764572;480042;2021-04-29;127;13
926568;2778566;2023-09-26;269;43
3586112;561702;2020-03-27;138;22
8497993;327647;2019-01-20;162;32
3458141;2795898;2023-09-16;247;32
643145;717372;2023-01-23;110;26
6942479;136702;2021-01-24;278;45
2455996;223262;2022-04-29;313;63
289127;223262;2021-10-25;124;19
1986116;2584132;2023-06-23;97;30
6790066;223262;2024-05-03;400;91
3277694;201138;2024-01-23;174;37
5922059;1257722;2021-03-05;178;55
8868765;348388;2019-07-23;69;38
2646600;223262;2023-05-02;457;162
1795255;576152;2020-04-03;83;15
2505768;717372;2021-10-22;216;39
8223528;267215;2023-04-05;193;40
5850068;717372;2023-10-24;149;54
7922913;529192;2021-02-18;229;21
314896;885262;2020-07-28;162;24
411673;138862;2022-09-15;82;26
6607306;321107;2021-04-13;89;52
8679250;206458;2020-04-20;199;21
7359194;2744228;2022-12-01;151;37
9544271;224062;2022-12-19;171;25
7628005;2840586;2024-06-29;278;49
3830624;2812066;2023-11-15;191;29
9673255;309316;2019-07-29;303;18
4072107;351800;2019-09-02;156;25
8203077;271078;2019-04-09;317;43
389597;928922;2024-01-27;142;16
195850;230462;2024-02-20;268;13
361939;2797633;2023-09-18;115;28
42782;1673722;2021-04-29;118;53
1362713;244510;2022-07-25;217;20
8384650;326232;2020-05-27;210;60
4099980;138862;2022-08-15;101;26
8794112;2584132;2022-09-05;113;165
7166719;2584132;2024-07-31;144;49
1476173;234026;2019-08-27;305;85
7187556;928922;2024-02-27;410;255
1784065;1665492;2021-04-26;140;41
5806399;244510;2022-07-25;206;11
4716763;795192;2020-06-26;86;21
5607058;480042;2020-04-28;159;19
5173351;2620992;2022-08-16;58;74
4010899;2703972;2022-10-21;83;128
4516873;2829708;2024-01-29;328;85
7226579;321107;2023-05-02;244;23
1177489;2584132;2022-11-25;200;80
8922894;324942;2023-07-09;106;42
7777491;1069832;2023-07-30;260;52
5235650;332288;2019-02-28;288;53
865680;321107;2019-06-25;305;119
3051297;2624362;2022-08-18;769;187
6496090;2813330;2023-11-20;184;23
3617682;2754542;2023-01-31;469;49
9509582;450142;2020-01-26;64;40
5551183;234026;2020-03-10;92;20
8233079;2759039;2023-07-18;151;25
1527876;2759517;2023-03-01;43;36
6380571;2015532;2023-12-26;281;11
4273250;358604;2019-10-25;278;83
8914574;717372;2024-01-14;218;19
9678671;266933;2023-10-24;174;255
4443515;2795898;2023-09-16;244;17
8143213;1285192;2020-12-28;211;52
4483480;320753;2020-07-07;247;13
4069714;727622;2020-05-30;124;26
9125301;206458;2020-04-20;224;14
4564694;138862;2022-09-15;53;24
5005828;319148;2019-11-06;281;65
7401709;1323682;2024-07-23;182;24
286908;823622;2021-04-15;259;296
2437877;2584132;2022-08-03;151;84
6485569;908052;2020-08-05;129;21
6394370;482522;2020-02-15;269;24
2458454;2862577;2024-06-04;114;109
5018748;356988;2019-10-04;206;63
7793135;328918;2019-01-29;98;11
3469677;1619112;2021-04-12;133;23
8686723;480042;2020-05-05;116;18
9494448;138862;2022-09-15;109;22
7439865;321107;2024-01-15;72;60
944592;224062;2023-09-11;61;25
8177118;224062;2024-03-18;162;13
605;327217;2019-01-17;380;16
7783364;318086;2020-10-22;84;21
6749715;717372;2020-05-27;150;15
3149647;923942;2020-08-12;227;26
9287660;64362;2024-07-25;174;49
3892706;531102;2020-03-15;50;57
9997131;959782;2020-08-28;91;101
6540788;138862;2023-04-24;88;45
479581;2776642;2023-06-06;268;100
2325095;2862251;2024-06-04;202;23
9968784;349380;2019-07-30;300;52
3387093;577892;2020-04-04;96;70
8085231;358604;2019-10-25;257;18
2435315;256830;2019-01-15;198;15
3978400;480992;2020-02-14;139;44
5083302;256511;2022-10-03;75;185
2328920;412162;2019-12-31;98;29
7465853;823622;2021-04-15;226;57
1459572;2004372;2024-05-17;148;51
3616216;2795695;2023-10-23;145;35
7342220;577892;2020-04-04;117;28
2141097;285252;2019-07-29;194;61
7508813;2768749;2023-04-24;36;21
